Country,country_code,latitude,longitude,Game_Sales
Argentina,AR,-38.416097,-63.616672,26872
Austria,AT,47.516231,14.550072,94052
Australia,AU,-25.274398,133.775136,181386
Aruba,AW,12.52111,-69.968338,6718
Bosnia and Herzegovina,BA,43.915886,17.679076,13436
Barbados,BB,13.193887,-59.543198,6718
Belgium,BE,50.503887,4.469936,47026
Bulgaria,BG,42.733883,25.48583,20154
Brazil,BR,-14.235004,-51.92528,174668
Belarus,BY,53.709807,27.953389,33590
Canada,CA,56.130366,-106.346771,268720
Switzerland,CH,46.818188,8.227512,47026
Chile,CL,-35.675147,-71.542969,26872
China,CN,35.86166,104.195397,927084
Colombia,CO,4.570868,-74.297333,6718
Czech Republic,CZ,49.817492,15.472962,87334
Germany,DE,51.165691,10.451526,671800
Denmark,DK,56.26392,9.501785,94052
Dominican Republic,DO,18.735693,-70.162651,6718
Estonia,EE,58.595272,25.013607,20154
Spain,ES,40.463667,-3.74922,194822
Finland,FI,61.92411,25.748151,127642
France,FR,46.227638,2.213749,167950
Gabon,GA,-0.803689,11.609444,6718
United Kingdom,GB,55.378051,-3.435973,362772
Guinea,GN,9.945587,-9.696645,6718
Greece,GR,39.074208,21.824312,53744
Guam,GU,13.444304,144.793731,6718
Guyana,GY,4.860416,-58.93018,6718
Hong Kong,HK,22.396428,114.109497,47026
Honduras,HN,15.199999,-86.241905,6718
Croatia,HR,45.1,15.2,13436
Hungary,HU,47.162494,19.503304,87334
Indonesia,ID,-0.789275,113.921327,33590
Ireland,IE,53.41291,-8.24389,40308
Israel,IL,31.046051,34.851612,40308
Isle of Man,IM,54.236107,-4.548056,13436
India,IN,20.593684,78.96288,20154
Iceland,IS,64.963051,-19.020835,13436
Italy,IT,41.87194,12.56738,94052
Jordan,JO,30.585164,36.238414,6718
Japan,JP,36.204824,138.252924,329182
South Korea,KR,35.907757,127.766922,456824
Kazakhstan,KZ,48.019573,66.923684,13436
Lebanon,LB,33.854721,35.862285,6718
Lithuania,LT,55.169438,23.881275,6718
Luxembourg,LU,49.815273,6.129583,6718
Latvia,LV,56.879635,24.603189,20154
Marshall Islands,MH,7.131474,171.184478,6718
Macau,MO,22.198745,113.543873,6718
Montserrat,MS,16.742498,-62.187366,6718
Malta,MT,35.937496,14.375416,6718
Maldives,MV,3.202778,73.22068,6718
Mexico,MX,23.634501,-102.552784,40308
Malaysia,MY,4.210484,101.975766,20154
Nigeria,NG,9.081999,8.675277,6718
Netherlands,NL,52.132633,5.291266,127642
Norway,NO,60.472024,8.468946,53744
New Zealand,NZ,-40.900557,174.885971,60462
Peru,PE,-9.189967,-75.015152,13436
Philippines,PH,12.879721,121.774017,20154
Poland,PL,51.919438,19.145136,315746
Portugal,PT,39.399872,-8.224454,87334
Qatar,QA,25.354826,51.183884,13436
Romania,RO,45.943161,24.96676,73898
Serbia,RS,44.016521,21.005859,33590
Russia,RU,61.52401,105.318756,470260
Sweden,SE,60.128161,18.643501,67180
Singapore,SG,1.352083,103.819836,20154
Slovenia,SI,46.151241,14.995463,13436
Slovakia,SK,48.669026,19.699024,33590
Somalia,SO,5.152149,46.199616,6718
Thailand,TH,15.870032,100.992541,40308
Turkey,TR,38.963745,35.243322,67180
Taiwan,TW,23.69781,120.960515,80616
Ukraine,UA,48.379433,31.16558,100770
United States,US,37.09024,-95.712891,1390626
Uruguay,UY,-32.522779,-55.765835,6718
Vatican City,VA,41.902916,12.453389,13436
Vietnam,VN,14.058324,108.277199,26872
South Africa,ZA,-30.559482,22.937506,6718
